20265,MOUSE5,0005E6A0296A,2,0,4,BOTH,04-Feb-2020,11:43:25,04-Feb-2020,11:43:44
20266,MOUSE5,0005E6A0296A,2,0,4,BOTH,04-Feb-2020,11:50:05,04-Feb-2020,11:50:27
20267,MOUSE5,0005E6A0296A,3,0,4,BOTH,04-Feb-2020,11:51:11,04-Feb-2020,11:51:51
20268,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,14:43:21,05-Feb-2020,14:43:34
20269,MOUSE5,0005E6A0296A,1,0,4,BOTH,05-Feb-2020,14:43:45,05-Feb-2020,14:43:53
20270,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,14:43:58,05-Feb-2020,14:44:05
20271,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,14:44:21,05-Feb-2020,14:44:29
20272,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,14:49:03,05-Feb-2020,14:49:10
20273,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,15:23:54,05-Feb-2020,15:24:02
20274,MOUSE5,0005E6A0296A,1,0,4,BOTH,05-Feb-2020,15:30:24,05-Feb-2020,15:30:35
20275,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,15:38:33,05-Feb-2020,15:38:41
20276,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,15:45:13,05-Feb-2020,15:45:26
20277,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,15:53:44,05-Feb-2020,15:53:57
20278,MOUSE5,0005E6A0296A,1,0,4,BOTH,05-Feb-2020,16:32:31,05-Feb-2020,16:32:40
20279,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,16:39:18,05-Feb-2020,16:39:26
20280,MOUSE5,0005E6A0296A,1,0,4,BOTH,05-Feb-2020,16:42:44,05-Feb-2020,16:42:57
20281,MOUSE5,0005E6A0296A,1,0,4,BOTH,05-Feb-2020,17:07:54,05-Feb-2020,17:08:02
20282,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,17:28:04,05-Feb-2020,17:28:12
20283,MOUSE5,0005E6A0296A,0,0,4,BOTH,05-Feb-2020,18:20:13,05-Feb-2020,18:20:21
20284,MOUSE5,0005E6A0296A,1,0,4,BOTH,05-Feb-2020,18:31:21,05-Feb-2020,18:31:30
